Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,545,41,2.37046,2.08029
2,3681,43,3.06583,2.52624
3,26945,42.125,3.45313,2.86623
4,205953,40.75,3.69018,3.08909
