Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,545,62,1.32856,1.31394
2,3681,125,2.74025,2.57985
3,26945,75.625,6.44193,4.96497
4,205953,69.375,38.9326,21.8664
