Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,365,46,1.03668,1.03668
2,2457,51,2.46408,2.01068
3,17969,53.25,2.27022,1.86632
4,137313,54.25,1.84768,1.70335
