Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,365,38,1.00018,0.924241
2,2457,42,1.11097,0.999895
3,17969,44.625,1.12424,0.950756
4,137313,45.25,0.999997,0.954335
